id,ürün,tahmin fiyat,ürün fiyatı,1_fiyat,2_fiyat,3_fiyat
6759,yumurta,29.93392,29.98,28.43,27.22,26.13
6760,beyaz peynir,64.75176,64.43,61.79,59.43,56.89
6761,Kaşar peyniri,69.41464,69.47,66.58,63.18,59.69
6762,krema,37.069893,36.78,35.33,33.0,31.5
6763,yoğurt,48.016327,48.0,46.83,44.55,42.6
6764,sucuk,62.114216,61.78,59.0,55.56,53.54
6765,salam,49.99268,50.24,48.43,46.28,43.83
6766,sosis,51.990715,51.58,49.04,46.34,44.18
6767,tam buğday ekmek,17.484245,17.41,16.78,15.95,15.32
6768,kaymak,69.77242,69.55,66.08,62.21,59.41
6769,bal,102.120415,98.94,95.57,91.37,86.77
6770,tereyağ,75.49413,75.91,72.57,67.23,63.93
6771,Armut,17.81632,17.76,17.15,16.39,15.65
6772,Çilek,22.392452,22.28,21.32,20.14,19.08
6773,Elma,23.434296,23.45,22.82,21.78,20.91
6774,Erik türleri,28.109806,27.98,26.71,25.29,23.81
6775,İncir,18.01966,18.03,17.35,16.54,15.85
6776,Karadut,21.710987,21.73,20.51,19.5,18.36
6777,Karpuz,24.923683,24.86,23.69,22.65,21.58
6778,Kavun,30.93945,30.86,29.72,28.56,27.18
6779,Kayısı,15.890345,15.79,15.27,14.47,13.77
6780,Kiraz,21.108555,21.1,20.29,19.06,18.2
6781,Limon,12.677625,12.57,12.21,11.57,11.1
6782,Mandalina,14.324076,14.32,13.65,12.96,12.24
6783,Muz,32.71581,32.8,31.54,30.08,28.47
6784,Nar,30.85605,30.89,29.9,29.11,27.91
6785,Portakal,15.252946,15.17,14.76,14.07,13.59
6786,Şeftali,21.98836,21.8,21.11,19.84,18.9
6787,Üzüm,22.004074,21.98,20.96,19.91,19.23
6788,Vişne,16.74208,16.7,16.07,15.25,14.42
6789,fındık,64.6254,65.11,62.3,59.68,56.38
6790,fıstık,72.53228,72.91,70.68,67.3,63.53
6791,kaju,57.316418,56.66,54.49,52.0,49.11
6792,badem,71.52091,71.82,68.65,65.58,62.34
6793,ceviz,72.862114,73.05,69.95,67.34,63.93
6794,kıyma,129.95009,134.7,129.49,123.15,118.89
6795,tavuk,43.783035,43.98,42.58,40.15,38.86
6796,hindi,48.616684,48.24,46.2,44.06,42.04
6797,Bakla-kuru,29.466354,29.48,28.31,27.02,25.98
6798,Bakla-taze,53.087032,52.56,50.63,47.7,44.92
6799,Bamya,22.103687,22.1,21.2,20.11,19.59
6800,Barbunya-kuru,22.698833,22.61,21.81,20.26,19.11
6801,Bezelye-taze,52.21865,51.76,50.82,48.02,45.49
6802,Biber-yeşil,55.99963,55.97,53.22,50.68,47.27
6803,Brüksel laha.,100.53994,98.48,93.76,89.69,85.22
6804,Domates,16.631573,16.63,15.89,15.13,14.5
6805,Enginar,44.954742,45.06,43.48,41.01,38.98
6806,Fasulye-kuru,38.251965,38.12,36.91,35.67,33.64
6807,Fasulye-taze,35.58323,35.67,33.84,32.47,30.49
6808,Havuç,28.351805,28.24,26.94,25.82,24.61
6809,Salatalık,16.468508,16.48,15.8,14.92,14.26
6810,Ispanak,51.786232,51.82,49.74,47.53,45.3
6811,Kabak,31.170523,31.24,29.9,28.5,27.35
6812,Karnabahar,31.842817,31.73,30.02,28.51,26.72
6813,Kereviz-baş,21.989252,22.02,21.21,20.56,19.59
6814,Kırmızı-pancar,23.977156,23.92,23.0,21.63,20.79
6815,Lahana,26.990385,27.0,25.67,24.54,23.54
6816,Mantar,54.066456,53.83,51.31,48.46,46.97
6817,Marul,26.871515,26.98,25.71,24.2,22.58
6818,Mercimek-kuru,20.8073,20.8,19.74,18.68,17.79
6819,Nohut,19.527647,19.59,19.01,18.29,17.37
6820,Pancar,28.453465,28.48,27.17,25.73,24.7
6821,Patates,13.383571,13.37,13.09,12.58,11.96
6822,Patlıcan,31.306322,31.17,29.67,28.36,26.97
6823,Pazı,7.8568997,7.9,7.49,7.07,6.71
6824,Pırasa,13.430634,13.34,12.95,12.23,11.65
6825,Semizotu,10.460337,10.54,10.02,9.51,9.14
6826,Buğday ekmeği,2.945092,2.95,2.88,2.76,2.63
6827,Bulgur,6.3526306,6.34,6.21,5.92,5.56
6828,Erişte,14.203603,14.2,13.59,12.88,12.28
6829,Makarna,7.7190304,7.69,7.48,7.12,6.79
6830,Mısır,10.125623,10.19,9.59,9.17,8.8
6831,Mısır unu,49.989918,50.36,48.45,46.09,44.77
6832,Nişasta,19.42044,19.41,18.57,17.62,16.77
6833,Pilav,16.524075,16.38,15.7,14.63,13.81
6834,Pirinç unu,30.520287,30.48,29.5,28.1,27.17
6835,Şehriye,24.615408,24.56,23.35,22.14,21.27
6836,Tarhana,15.395394,15.37,14.87,14.22,13.32
6837,Yulaf unu,48.947823,48.8,46.5,45.28,42.4
6838,yumurta,31.858135,31.9,30.24,28.54,27.28
6839,beyaz peynir,55.53394,55.59,53.82,51.13,48.73
6840,Kaşar peyniri,66.75431,67.33,64.44,61.8,57.52
6841,krema,34.490345,34.33,33.61,32.04,30.89
6842,yoğurt,52.377506,52.56,50.75,48.16,46.24
6843,sucuk,67.202385,68.06,65.1,62.5,59.9
6844,salam,48.88783,48.75,46.35,43.73,41.88
6845,sosis,58.297203,58.67,56.11,53.56,51.17
6846,tam buğday ekmek,19.084963,19.06,18.26,17.18,16.25
6847,kaymak,64.97705,64.46,60.94,58.31,56.18
6848,bal,101.92823,99.58,93.96,89.21,84.88
6849,tereyağ,77.3095,76.12,74.01,69.48,66.35
6850,Armut,16.980183,16.95,16.42,15.82,15.05
6851,Çilek,20.149368,20.15,19.04,18.33,17.21
6852,Elma,27.420328,27.39,26.03,24.74,23.79
6853,Erik türleri,33.162315,33.33,32.03,30.54,28.97
6854,İncir,18.382727,18.3,17.64,16.91,15.82
6855,Karadut,23.157068,23.14,22.09,20.91,19.85
6856,Karpuz,28.378254,28.3,27.39,25.75,24.39
6857,Kavun,30.35364,30.32,29.01,27.3,26.04
6858,Kayısı,16.962057,17.0,16.39,16.0,15.28
6859,Kiraz,18.640537,18.61,18.1,17.32,16.18
6860,Limon,12.492256,12.53,11.94,11.53,10.99
6861,Mandalina,11.1089945,11.03,10.63,10.05,9.52
6862,Muz,37.91816,38.02,36.62,34.74,32.9
6863,Nar,33.08488,32.98,32.48,30.85,29.84
6864,Portakal,18.431942,18.42,17.57,16.63,16.0
6865,Şeftali,19.341824,19.32,18.73,17.93,17.26
6866,Üzüm,21.304045,21.15,20.59,19.34,18.52
6867,Vişne,15.922766,15.88,15.32,14.51,13.66
6868,fındık,66.144165,66.75,63.78,61.68,58.05
6869,fıstık,55.706432,56.21,54.04,51.46,49.67
6870,kaju,76.53397,75.98,72.11,67.96,64.57
6871,badem,66.84398,66.94,63.81,59.48,56.37
6872,ceviz,68.682755,67.86,65.55,62.03,58.93
6873,kıyma,126.75877,137.49,130.02,124.19,118.59
6874,tavuk,43.56824,43.7,41.49,39.36,37.97
6875,hindi,50.69841,50.26,47.53,44.76,43.22
6876,Bakla-kuru,30.996164,30.91,29.79,28.45,26.45
6877,Bakla-taze,50.04233,50.56,48.71,45.99,43.97
6878,Bamya,20.042189,20.02,19.33,18.34,17.41
6879,Barbunya-kuru,24.831018,24.71,23.61,22.71,21.63
6880,Bezelye-taze,53.714664,53.84,51.54,49.33,46.34
6881,Biber-yeşil,51.32906,50.79,48.75,46.32,43.99
6882,Brüksel laha.,90.93386,89.82,86.47,82.46,78.63
6883,Domates,15.486006,15.46,14.83,13.93,13.4
6884,Enginar,47.30967,47.44,45.84,43.34,41.2
6885,Fasulye-kuru,36.80818,36.56,35.14,33.73,32.5
6886,Fasulye-taze,37.342518,37.28,35.8,34.38,32.99
6887,Havuç,30.528185,30.61,29.09,27.89,26.37
6888,Salatalık,18.341085,18.28,17.53,16.58,15.82
6889,Ispanak,45.313824,45.11,43.76,41.87,39.96
6890,Kabak,31.749538,31.57,30.5,28.82,27.56
6891,Karnabahar,36.84188,36.89,35.62,33.39,32.0
6892,Kereviz-baş,24.926601,24.85,23.6,22.6,21.4
6893,Kırmızı-pancar,25.35798,25.17,24.43,23.09,21.65
6894,Lahana,28.707558,28.65,27.79,26.15,25.25
6895,Mantar,57.134876,56.89,55.25,53.13,50.8
6896,Marul,22.641548,22.58,21.62,20.35,19.58
6897,Mercimek-kuru,22.19102,22.15,21.67,20.56,19.53
6898,Nohut,17.720089,17.74,16.94,16.22,15.44
6899,Pancar,28.19215,27.89,27.54,26.22,24.93
6900,Patates,12.078714,12.12,11.63,11.11,10.6
6901,Patlıcan,29.081724,28.97,27.71,26.13,24.98
6902,Pazı,9.927738,9.9,9.52,8.98,8.59
6903,Pırasa,12.447919,12.42,12.0,11.51,10.93
6904,Semizotu,11.005569,10.94,10.54,9.98,9.49
6905,Buğday ekmeği,3.599909,3.64,3.52,3.37,3.24
6906,Bulgur,6.9539576,6.9,6.68,6.3,5.96
6907,Erişte,16.066978,15.91,15.48,14.65,13.84
6908,Makarna,7.2662935,7.22,6.98,6.58,6.18
6909,Mısır,8.3323145,8.36,8.1,7.73,7.26
6910,Mısır unu,46.07624,45.99,44.26,42.39,40.13
6911,Nişasta,21.868196,21.78,21.18,20.07,19.1
6912,Pilav,17.767113,17.73,16.89,16.03,15.3
6913,Pirinç unu,30.45988,30.38,29.29,28.15,26.85
6914,Şehriye,27.856003,27.6,26.94,25.43,24.46
6915,Tarhana,14.004192,14.03,13.51,13.01,12.22
6916,Yulaf unu,58.359955,57.43,54.97,51.6,48.33
6917,yumurta,31.498114,31.5,30.1,28.53,26.85
6918,beyaz peynir,63.9479,64.6,61.52,57.79,54.71
6919,Kaşar peyniri,73.76123,72.98,69.9,65.78,62.79
6920,krema,39.07813,39.15,37.32,35.37,33.95
6921,yoğurt,52.42863,52.08,48.97,47.3,44.6
6922,sucuk,65.28633,64.56,61.86,58.71,56.76
6923,salam,51.89305,52.14,50.12,47.65,45.15
6924,sosis,51.27882,51.21,49.36,46.77,44.5
6925,tam buğday ekmek,16.628738,16.7,15.8,14.87,14.04
6926,kaymak,55.286148,55.25,53.2,51.17,49.09
6927,bal,101.47174,102.37,99.5,95.08,89.89
6928,tereyağ,82.04801,78.19,75.53,70.6,66.73
6929,Armut,17.42316,17.32,16.72,15.68,14.82
6930,Çilek,22.729134,22.73,21.79,20.73,19.75
6931,Elma,21.512941,21.49,20.72,19.96,19.0
6932,Erik türleri,29.302065,29.16,28.18,26.92,25.35
6933,İncir,17.58195,17.47,17.01,16.26,15.34
6934,Karadut,23.72926,23.75,22.78,21.24,20.17
6935,Karpuz,27.44982,27.43,25.81,24.12,23.0
6936,Kavun,33.952225,33.66,32.57,30.94,29.35
6937,Kayısı,16.959307,16.84,16.32,15.43,14.66
6938,Kiraz,21.241367,21.34,20.3,19.43,18.38
6939,Limon,12.631971,12.59,12.1,11.45,10.88
6940,Mandalina,13.161202,13.14,12.75,12.18,11.69
6941,Muz,39.106094,39.23,37.32,34.55,33.16
6942,Nar,36.396545,36.17,35.24,33.61,31.78
6943,Portakal,16.895725,16.96,16.27,15.54,14.86
6944,Şeftali,19.809603,19.84,18.98,18.16,17.26
6945,Üzüm,23.044847,23.05,22.29,21.31,20.52
6946,Vişne,18.592155,18.57,17.85,16.88,15.98
6947,fındık,58.167694,58.14,54.98,52.46,49.45
6948,fıstık,77.09436,75.54,73.58,69.66,66.59
6949,kaju,64.51762,64.28,61.66,58.7,56.61
6950,badem,59.64095,59.6,57.58,54.94,52.15
6951,ceviz,90.439354,88.55,85.2,80.74,74.27
6952,kıyma,149.0119,140.94,135.35,127.69,120.11
6953,tavuk,44.039352,43.59,41.82,39.76,37.92
6954,hindi,47.370422,47.59,45.88,43.25,40.81
6955,Bakla-kuru,30.16384,30.11,28.89,28.15,27.07
6956,Bakla-taze,57.610977,56.94,55.05,51.35,48.01
6957,Bamya,20.39779,20.35,19.8,18.89,17.92
6958,Barbunya-kuru,27.078192,26.97,26.07,24.62,23.21
6959,Bezelye-taze,46.55791,46.12,44.08,41.31,39.94
6960,Biber-yeşil,48.827263,49.05,47.25,44.56,42.79
6961,Brüksel laha.,99.11216,101.43,97.75,91.25,87.33
6962,Domates,16.625446,16.55,15.82,15.09,14.6
6963,Enginar,50.196205,49.48,47.35,44.57,42.71
6964,Fasulye-kuru,38.366276,38.31,36.38,34.61,32.96
6965,Fasulye-taze,36.886074,36.65,35.15,33.79,31.92
6966,Havuç,38.62994,38.67,37.1,35.65,34.03
6967,Salatalık,18.558186,18.39,17.76,16.49,15.44
6968,Ispanak,52.07514,52.15,49.89,47.68,45.65
6969,Kabak,33.465458,33.32,32.26,30.56,29.32
6970,Karnabahar,37.45071,37.35,35.8,34.22,32.3
6971,Kereviz-baş,25.521885,25.65,24.38,23.18,22.3
6972,Kırmızı-pancar,25.918072,25.92,24.49,23.43,22.39
6973,Lahana,34.530422,34.23,33.02,31.06,29.01
6974,Mantar,53.995018,54.76,52.2,50.48,48.05
6975,Marul,27.34643,27.35,26.22,24.89,23.95
6976,Mercimek-kuru,21.156448,21.02,20.51,19.44,18.53
6977,Nohut,18.541681,18.45,17.77,16.91,16.23
6978,Pancar,26.041328,26.0,24.93,23.88,22.74
6979,Patates,13.047167,13.11,12.41,11.88,11.27
6980,Patlıcan,36.737766,36.7,34.66,32.82,31.42
6981,Pazı,7.66671,7.66,7.41,7.07,6.79
6982,Pırasa,11.210949,11.19,10.74,10.16,9.55
6983,Semizotu,10.794853,10.73,10.39,9.83,9.42
6984,Buğday ekmeği,2.9185207,2.88,2.76,2.67,2.53
6985,Bulgur,7.0841994,7.04,6.84,6.43,6.1
6986,Erişte,14.943401,14.95,14.33,13.72,13.03
6987,Makarna,6.0991826,6.08,5.86,5.61,5.38
6988,Mısır,8.643219,8.73,8.31,7.87,7.38
6989,Mısır unu,46.930504,47.02,44.47,42.2,39.94
6990,Nişasta,17.042103,16.92,16.34,15.24,14.5
6991,Pilav,17.171255,17.24,16.51,15.91,14.98
6992,Pirinç unu,28.919586,29.07,27.48,26.45,25.24
6993,Şehriye,32.28945,32.22,31.03,29.4,28.21
6994,Tarhana,15.237058,15.14,14.75,14.06,13.32
6995,Yulaf unu,51.330994,50.73,48.82,46.27,44.06
6996,yumurta,35.032455,35.17,33.35,31.95,30.3
6997,beyaz peynir,66.34472,66.75,64.06,60.58,57.61
6998,Kaşar peyniri,63.376564,63.47,60.39,57.72,55.23
6999,krema,37.560047,37.36,35.84,33.53,31.63
7000,yoğurt,43.274162,43.55,41.68,39.44,37.72
7001,sucuk,60.525906,59.65,57.1,53.26,49.87
7002,salam,50.035088,50.35,48.54,46.39,43.85
7003,sosis,46.75647,46.45,44.96,42.61,40.93
7004,tam buğday ekmek,18.437489,18.51,17.44,16.5,15.6
7005,kaymak,57.273407,57.33,55.4,52.66,50.75
7006,bal,98.1284,105.39,100.86,95.06,89.57
7007,tereyağ,80.49533,81.35,76.61,72.14,68.75
7008,Armut,16.031212,16.02,15.44,14.76,14.15
7009,Çilek,24.262562,24.15,23.07,21.76,20.81
7010,Elma,22.813137,22.85,21.84,20.71,19.69
7011,Erik türleri,27.53694,27.43,26.37,24.83,23.58
7012,İncir,18.022377,18.02,17.23,16.38,15.49
7013,Karadut,22.454937,22.22,21.48,20.09,19.13
7014,Karpuz,25.819326,25.82,24.43,23.26,22.16
7015,Kavun,26.512957,26.6,25.72,24.69,23.71
7016,Kayısı,17.04664,17.0,16.45,15.73,14.96
7017,Kiraz,22.429018,22.38,21.41,20.15,18.85
7018,Limon,13.579798,13.66,13.0,12.27,11.62
7019,Mandalina,14.758685,14.67,14.21,13.37,12.6
7020,Muz,36.298866,36.09,34.62,32.71,30.76
7021,Nar,33.48456,33.7,31.6,29.45,28.09
7022,Portakal,17.083439,17.11,16.36,15.83,15.13
7023,Şeftali,21.017809,20.92,19.99,19.04,17.87
7024,Üzüm,20.646511,20.53,19.72,18.49,17.58
7025,Vişne,18.28521,18.32,17.42,16.6,15.68
7026,fındık,59.99504,59.95,58.33,55.61,52.54
7027,fıstık,70.51635,69.77,66.38,62.61,58.77
7028,kaju,66.55905,66.63,63.67,59.87,56.7
7029,badem,59.620594,59.2,57.5,55.47,52.73
7030,ceviz,79.59198,77.73,74.29,70.15,66.99
7031,kıyma,141.5579,140.59,135.78,130.13,121.89
7032,tavuk,50.856262,50.51,47.7,45.28,43.08
7033,hindi,43.51002,43.41,42.18,39.93,38.26
7034,Bakla-kuru,29.006784,29.05,27.71,26.7,25.4
7035,Bakla-taze,47.72903,48.01,45.66,43.27,40.61
7036,Bamya,22.46604,22.34,21.55,20.24,18.95
7037,Barbunya-kuru,28.524511,28.36,27.33,25.64,24.21
7038,Bezelye-taze,45.710865,45.91,44.69,42.4,40.5
7039,Biber-yeşil,44.409996,44.15,41.84,40.26,37.93
7040,Brüksel laha.,98.41861,97.89,93.61,88.54,84.55
7041,Domates,16.802652,16.85,16.25,15.75,14.98
7042,Enginar,50.851696,50.34,48.74,45.97,44.09
7043,Fasulye-kuru,37.246376,37.23,35.91,34.06,32.15
7044,Fasulye-taze,36.010464,35.8,34.57,33.13,31.3
7045,Havuç,34.33776,34.32,33.43,31.22,28.82
7046,Salatalık,15.132003,15.06,14.58,13.79,13.08
7047,Ispanak,57.889214,57.64,55.44,52.79,50.36
7048,Kabak,35.2133,35.23,33.17,32.3,30.3
7049,Karnabahar,36.626713,36.81,34.97,33.22,31.7
7050,Kereviz-baş,25.193415,25.05,24.15,22.65,21.54
7051,Kırmızı-pancar,25.376846,25.34,24.15,23.01,21.52
7052,Lahana,30.871967,30.87,29.79,28.58,27.14
7053,Mantar,58.767563,58.22,55.43,52.86,51.03
7054,Marul,24.628986,24.75,23.58,22.36,21.18
7055,Mercimek-kuru,20.969023,20.97,20.24,19.44,18.11
7056,Nohut,21.267982,21.13,20.17,19.01,18.03
7057,Pancar,27.474615,27.51,26.55,25.32,23.96
7058,Patates,12.708377,12.64,12.37,11.67,11.22
7059,Patlıcan,34.632328,34.53,33.21,31.56,30.17
7060,Pazı,9.957991,9.96,9.55,9.17,8.69
7061,Pırasa,14.304488,14.26,13.7,12.83,12.23
7062,Semizotu,11.235066,11.15,10.81,10.19,9.56
7063,Buğday ekmeği,3.7092054,3.73,3.56,3.36,3.2
7064,Bulgur,6.2086296,6.19,5.91,5.6,5.29
7065,Erişte,13.176859,13.24,12.65,12.09,11.52
7066,Makarna,5.8034196,5.82,5.58,5.29,4.98
7067,Mısır,8.417475,8.4,8.29,7.98,7.57
7068,Mısır unu,48.62559,47.99,46.26,43.45,40.61
7069,Nişasta,23.925589,23.93,22.64,21.28,20.43
7070,Pilav,16.866568,16.85,16.26,15.43,14.86
7071,Pirinç unu,31.507826,31.37,30.39,28.95,26.92
7072,Şehriye,25.992981,25.92,24.9,23.75,22.19
7073,Tarhana,15.877082,15.93,15.05,14.32,13.54
7074,Yulaf unu,50.950226,50.76,49.24,46.56,44.46
7075,yumurta,32.746193,32.74,31.47,30.06,28.49
7076,beyaz peynir,70.40952,69.43,66.28,63.77,59.62
7077,Kaşar peyniri,62.115177,62.49,60.08,58.05,54.52
7078,krema,40.065536,39.71,39.05,37.13,35.46
7079,yoğurt,57.266632,57.15,55.4,52.25,49.14
7080,sucuk,58.004295,57.12,54.54,51.91,49.38
7081,salam,49.343597,48.88,47.64,44.85,42.63
7082,sosis,58.58683,58.38,55.75,53.12,50.36
7083,tam buğday ekmek,16.99005,17.03,16.05,15.42,14.29
7084,kaymak,66.218575,66.39,63.56,60.98,58.31
7085,bal,105.48273,111.86,106.29,100.46,94.32
7086,tereyağ,78.52652,77.83,75.26,70.88,68.49
7087,Armut,16.744207,16.75,16.22,15.65,14.81
7088,Çilek,21.206593,21.33,20.12,18.89,17.85
7089,Elma,23.062252,23.05,22.25,21.34,20.41
7090,Erik türleri,28.776997,28.76,27.79,26.5,25.38
7091,İncir,17.24765,17.23,16.42,15.8,15.03
7092,Karadut,23.330233,23.36,21.72,20.88,19.71
7093,Karpuz,24.086763,24.13,22.95,21.88,20.72
7094,Kavun,33.003242,32.97,31.3,29.23,27.8
7095,Kayısı,18.688507,18.62,17.84,16.61,15.75
7096,Kiraz,20.891254,20.9,20.32,19.36,18.21
7097,Limon,13.313198,13.3,12.69,12.03,11.49
7098,Mandalina,12.995706,13.07,12.48,11.83,11.24
7099,Muz,34.911983,34.79,33.25,31.05,29.47
7100,Nar,35.186367,35.22,33.27,31.87,30.54
7101,Portakal,16.215582,16.2,15.55,14.74,14.18
7102,Şeftali,19.901022,19.89,19.13,18.12,17.16
7103,Üzüm,20.163008,20.09,19.25,18.28,17.41
7104,Vişne,16.351614,16.33,15.5,14.47,13.89
7105,fındık,58.404427,59.0,56.87,53.97,51.08
7106,fıstık,65.34575,65.84,62.91,60.22,56.26
7107,kaju,72.64142,72.65,68.42,65.7,62.6
7108,badem,70.60067,70.46,67.33,64.49,61.61
7109,ceviz,83.24507,81.67,78.33,73.35,70.51
7110,kıyma,124.69179,131.05,125.89,119.94,114.03
7111,tavuk,42.405643,42.61,41.65,39.75,38.01
7112,hindi,51.827198,51.88,49.36,46.93,44.85
7113,Bakla-kuru,31.575935,31.52,30.62,29.17,27.79
7114,Bakla-taze,49.615265,49.05,47.48,44.73,41.85
7115,Bamya,21.365145,21.26,20.54,19.53,18.7
7116,Barbunya-kuru,28.638273,28.62,27.29,26.27,25.04
7117,Bezelye-taze,49.975605,50.35,48.58,46.28,44.35
7118,Biber-yeşil,51.924072,51.89,49.6,46.64,44.49
7119,Brüksel laha.,103.7316,114.19,109.13,103.41,97.44
7120,Domates,17.061178,17.17,16.27,15.61,14.99
7121,Enginar,41.427174,41.61,40.1,37.87,35.86
7122,Fasulye-kuru,43.71465,44.01,41.57,39.75,37.71
7123,Fasulye-taze,35.55828,35.49,33.5,31.93,30.88
7124,Havuç,35.334686,35.24,34.06,32.8,30.58
7125,Salatalık,17.3468,17.3,16.85,16.0,15.27
7126,Ispanak,54.793842,54.41,52.46,49.69,47.35
7127,Kabak,32.883957,32.85,31.89,30.46,28.76
7128,Karnabahar,34.372337,34.4,32.9,30.85,29.13
7129,Kereviz-baş,20.835907,20.84,19.91,18.98,18.07
7130,Kırmızı-pancar,23.248878,23.26,22.22,21.11,20.1
7131,Lahana,30.68377,30.78,29.12,27.51,26.27
7132,Mantar,54.027195,54.17,51.44,49.87,47.44
7133,Marul,23.492445,23.3,22.63,21.1,19.98
7134,Mercimek-kuru,27.059229,26.96,25.82,24.28,23.08
7135,Nohut,17.057041,17.06,16.47,15.72,14.7
7136,Pancar,33.2279,33.16,31.52,29.4,28.05
7137,Patates,11.741631,11.69,11.36,10.82,10.42
7138,Patlıcan,33.135612,33.09,31.71,30.58,29.35
7139,Pazı,8.0760355,8.01,7.75,7.32,7.0
7140,Pırasa,13.584341,13.58,12.9,12.21,11.65
7141,Semizotu,12.221324,12.16,11.77,11.31,10.8
7142,Buğday ekmeği,2.9595485,2.98,2.88,2.73,2.62
7143,Bulgur,6.9682837,6.91,6.68,6.22,5.91
7144,Erişte,13.543618,13.53,12.9,12.3,11.73
7145,Makarna,5.29063,5.27,5.04,4.72,4.44
7146,Mısır,8.565853,8.61,8.2,7.77,7.41
7147,Mısır unu,56.796158,56.72,55.12,52.59,49.88
7148,Nişasta,21.743498,21.78,20.87,19.93,18.89
7149,Pilav,16.70567,16.72,15.91,14.94,13.99
7150,Pirinç unu,30.052376,30.07,29.04,27.7,26.05
7151,Şehriye,29.804474,29.94,28.78,27.3,25.67
7152,Tarhana,15.183589,15.19,14.41,13.53,12.98
7153,Yulaf unu,48.59619,49.03,47.09,45.47,42.94
7154,yumurta,29.589933,29.71,28.11,27.27,26.09
7155,beyaz peynir,58.79786,58.88,57.46,55.04,52.1
7156,Kaşar peyniri,67.56484,68.83,65.08,61.77,58.97
7157,krema,32.369934,32.28,30.89,29.54,28.09
7158,yoğurt,54.375923,53.56,52.41,49.64,46.91
7159,sucuk,62.39899,63.16,59.68,57.9,55.44
7160,salam,52.689377,52.53,51.15,48.51,45.74
7161,sosis,47.81147,47.97,45.61,43.69,41.5
7162,tam buğday ekmek,17.350674,17.35,16.54,15.77,14.93
7163,kaymak,67.76334,66.35,62.69,59.0,55.48
7164,bal,101.552864,104.22,100.57,95.46,90.56
7165,tereyağ,62.178875,62.22,59.28,57.37,54.11
7166,Armut,17.56944,17.5,16.89,15.99,15.06
7167,Çilek,21.031824,21.05,20.44,19.54,18.32
7168,Elma,25.298937,25.24,24.19,22.69,21.45
7169,Erik türleri,30.629568,30.63,29.45,28.2,26.86
7170,İncir,17.918432,17.79,17.2,16.22,15.42
7171,Karadut,23.322865,23.36,22.3,21.27,20.48
7172,Karpuz,30.428099,30.32,28.94,27.19,25.7
7173,Kavun,31.912537,31.9,30.45,29.03,27.57
7174,Kayısı,17.924477,17.84,17.21,16.23,15.51
7175,Kiraz,18.89666,18.94,18.13,17.36,16.44
7176,Limon,12.340337,12.29,11.82,11.12,10.6
7177,Mandalina,11.63577,11.63,11.2,10.74,10.3
7178,Muz,33.954906,34.11,32.51,30.8,29.71
7179,Nar,37.46703,37.5,35.99,33.97,32.52
7180,Portakal,18.239086,18.21,17.6,16.59,15.67
7181,Şeftali,20.300224,20.22,19.73,18.87,18.07
7182,Üzüm,21.925877,21.89,21.01,19.87,18.87
7183,Vişne,19.316525,19.26,18.4,17.3,16.29
7184,fındık,62.622223,62.91,59.88,56.85,54.38
7185,fıstık,57.683296,57.51,55.11,52.58,50.79
7186,kaju,70.69291,69.86,66.41,63.59,59.74
7187,badem,57.168377,56.87,54.41,52.25,50.12
7188,ceviz,74.105896,75.45,72.2,69.3,65.68
7189,kıyma,127.23272,130.66,125.91,121.11,114.0
7190,tavuk,51.894936,51.24,48.98,46.44,44.52
7191,hindi,45.97458,45.74,43.87,41.66,40.07
7192,Bakla-kuru,30.221638,30.13,29.01,27.45,26.39
7193,Bakla-taze,57.88811,57.44,55.16,52.2,49.53
7194,Bamya,21.544415,21.48,20.54,19.48,18.75
7195,Barbunya-kuru,22.569166,22.63,21.45,20.3,19.57
7196,Bezelye-taze,50.19256,50.38,48.29,45.74,43.72
7197,Biber-yeşil,50.281372,49.64,47.35,44.24,41.85
7198,Brüksel laha.,96.718475,101.22,97.37,91.39,87.4
7199,Domates,19.257246,19.15,18.34,17.21,16.34
7200,Enginar,49.955334,49.81,47.84,45.82,44.05
7201,Fasulye-kuru,35.758095,35.78,34.48,32.53,31.1
7202,Fasulye-taze,38.465225,38.45,36.61,34.19,32.78
7203,Havuç,31.176785,31.18,29.79,28.55,27.53
7204,Salatalık,17.0576,17.09,16.34,15.59,14.71
7205,Ispanak,51.8666,51.82,49.2,46.98,44.69
7206,Kabak,32.88728,33.02,31.49,30.21,28.74
7207,Karnabahar,33.61867,33.4,32.81,30.89,29.04
7208,Kereviz-baş,28.054384,27.8,26.9,25.41,24.25
7209,Kırmızı-pancar,24.86805,24.92,23.8,22.74,21.35
7210,Lahana,28.110744,27.94,26.61,25.31,24.0
7211,Mantar,54.00187,54.59,52.23,49.52,47.16
7212,Marul,27.350082,27.28,26.56,25.2,23.9
7213,Mercimek-kuru,20.93308,21.0,19.92,18.97,18.0
7214,Nohut,19.131702,19.09,18.4,17.61,16.5
7215,Pancar,32.423283,32.41,30.98,28.75,26.87
7216,Patates,13.232421,13.22,12.8,12.19,11.67
7217,Patlıcan,35.70371,35.57,34.01,32.31,30.17
7218,Pazı,7.3950195,7.4,7.06,6.66,6.51
7219,Pırasa,12.510491,12.43,12.12,11.48,11.11
7220,Semizotu,11.409386,11.4,10.93,10.33,9.9
7221,Buğday ekmeği,3.1158838,3.14,3.02,2.84,2.72
7222,Bulgur,5.806762,5.87,5.58,5.36,5.1
7223,Erişte,13.713764,13.75,13.21,12.51,11.9
